Agent,Mean Reward,Std Reward
DQN,0.4,0.48989794855663565
BC,1.55,1.116915395184434
BCQ,0.65,0.47696960070847283
A2C,3.0,0.9486832980505138
PPO,5.3,1.307669683062202
Shaped DQN,0.05,0.21794494717703364
